epoch,step,train_acc,train_loss,val_acc,val_best_f1,val_best_threshold,val_f1_macro,val_loss,val_roc_auc
0,4781,,,0.945411741733551,0.9459994435310364,0.50830078125,0.9454116821289062,0.16907502710819244,0.9903483986854553
0,4781,0.9112483859062195,0.23525822162628174,,,,,,
1,9563,,,0.9505293965339661,0.9506469964981079,0.38330078125,0.9505179524421692,0.15691730380058289,0.99248868227005
1,9563,0.9646862745285034,0.13058575987815857,,,,,,
2,14345,,,0.9444705843925476,0.9458740949630737,0.11376953125,0.9444395303726196,0.1952502727508545,0.990608274936676
2,14345,0.9821242094039917,0.09615050256252289,,,,,,
3,19127,,,0.9454705715179443,0.9485282301902771,0.84326171875,0.9454662799835205,0.21506807208061218,0.9866577982902527
3,19127,0.9914771318435669,0.0763765349984169,,,,,,
