epoch,step,train_acc,train_loss,val_acc,val_best_f1,val_best_threshold,val_f1_macro,val_loss,val_roc_auc
0,478,,,0.8417646884918213,0.874574601650238,0.7197265625,0.8390944004058838,0.3229908347129822,0.9566975831985474
0,478,0.7512418031692505,0.47828808426856995,,,,,,
1,957,,,0.8929411768913269,0.8935099244117737,0.5078125,0.8929232358932495,0.26961344480514526,0.9672103524208069
1,957,0.908627450466156,0.23252075910568237,,,,,,
2,1436,,,0.8688235282897949,0.8875021934509277,0.86328125,0.8687995076179504,0.34267458319664,0.9597176313400269
2,1436,0.9414379000663757,0.16136425733566284,,,,,,
3,1915,,,0.8805882334709167,0.8864460587501526,0.76416015625,0.880588173866272,0.3395792543888092,0.9603211283683777
3,1915,0.9549673199653625,0.13548590242862701,,,,,,
4,2394,,,0.8823529481887817,0.8724069595336914,0.0535888671875,0.8818582892417908,0.3503105938434601,0.9529342651367188
4,2394,0.9592157006263733,0.12284135818481445,,,,,,
