epoch,step,train_acc,train_loss,val_acc,val_best_f1,val_best_threshold,val_f1_macro,val_loss,val_roc_auc
0,478,,,0.9252941012382507,0.9305666089057922,0.6279296875,0.9251708388328552,0.22023487091064453,0.9807056188583374
0,478,0.8002614378929138,0.4204930067062378,,,,,,
1,957,,,0.931176483631134,0.9382197260856628,0.68701171875,0.9311238527297974,0.24532930552959442,0.9816669225692749
1,957,0.9532679915428162,0.16434785723686218,,,,,,
2,1436,,,0.9164705872535706,0.9329076409339905,0.88330078125,0.9161688089370728,0.29455286264419556,0.9770087003707886
2,1436,0.9888888597488403,0.08737237006425858,,,,,,
3,1915,,,0.9200000166893005,0.9334979057312012,0.94384765625,0.9198134541511536,0.32128846645355225,0.9796115159988403
3,1915,0.9956862926483154,0.06824405491352081,,,,,,
4,2394,,,0.929411768913269,0.9340773820877075,0.94189453125,0.9293237328529358,0.31870314478874207,0.95130455493927
4,2394,0.9971895217895508,0.0642818734049797,,,,,,
