epoch,step,train_acc,train_loss,val_acc,val_best_f1,val_best_threshold,val_f1_macro,val_loss,val_roc_auc
0,4781,,,0.9462352991104126,0.9465881586074829,0.418212890625,0.9462147951126099,0.16505807638168335,0.9910227060317993
0,4781,0.9108757972717285,0.2336900234222412,,,,,,
1,9563,,,0.9511764645576477,0.9510554075241089,0.341064453125,0.9511675238609314,0.1604091227054596,0.9923332333564758
1,9563,0.9662614464759827,0.12696394324302673,,,,,,
2,14345,,,0.9512941241264343,0.9517016410827637,0.625,0.9512931108474731,0.18947352468967438,0.9890243411064148
2,14345,0.984614372253418,0.09006451815366745,,,,,,
3,19127,,,0.9510588049888611,0.9516406059265137,0.56689453125,0.951054036617279,0.2095540165901184,0.9842019081115723
3,19127,0.9940326809883118,0.07044527679681778,,,,,,
