epoch,step,train_acc,train_loss,val_acc,val_best_f1,val_best_threshold,val_f1_macro,val_loss,val_roc_auc
0,4781,,,0.9462941288948059,0.949401319026947,0.64306640625,0.9462935328483582,0.16385282576084137,0.9911133646965027
0,4781,0.911006510257721,0.23400664329528809,,,,,,
1,9563,,,0.9541176557540894,0.9542896151542664,0.501953125,0.9541134834289551,0.15175434947013855,0.993367612361908
1,9563,0.9662026166915894,0.1274775266647339,,,,,,
2,14345,,,0.9523529410362244,0.9526470303535461,0.361328125,0.9523500800132751,0.18558156490325928,0.9830272793769836
2,14345,0.9843791127204895,0.09059131890535355,,,,,,
3,19127,,,0.9525294303894043,0.9528189301490784,0.537109375,0.9525256752967834,0.20492300391197205,0.9755687713623047
3,19127,0.9942287802696228,0.06985698640346527,,,,,,
4,23909,,,0.9526470303535461,0.9534653425216675,0.8212890625,0.9526459574699402,0.2126673310995102,0.9723830819129944
4,23909,0.9973267912864685,0.06317993998527527,,,,,,
